car_park_no,address,latitude,longitude,car_park_type,type_of_parking_system,short_term_parking,free_parking,night_parking,car_park_decks,gantry_height,car_park_basement,normal_hours,other_hours
C24,BLK 110/118 CLEMENTI STREET 13,1.324197621,103.7712867,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,0.6,0.6
C25,BLK 101-104 CLEMENTI STREET 14,1.322351236,103.7689889,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,0.6,0.6
C26,BLK 105-107 CLEMENTI STREET 12,1.322587761,103.7699291,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.3,N,0.6,0.6
C27,BLK 108/109 CLEMENTI STREET 11,1.322242263,103.7705128,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.3,N,0.6,0.6
C28,BLK 201/206 CLEMENTI AVENUE 6,1.32115798,103.7633348,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,2.1,N,0.6,0.6
C28M,BLK 208 CLEMENTI AVE 6,1.322361744,103.7620715,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,6,2.15,N,0.6,0.6
C29,BLK 501-505 WEST COAST DRIVE,1.312614612,103.7592318,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N,0.6,0.6
C29A,BLK 503 WEST COAST DRIVE,1.311360936,103.7591849,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,2.15,N,0.6,0.6
C3M,BLK 416A CLEMENTI AVE 1,1.309813588,103.770131,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,2,2.15,N,0.6,0.6
C3ML,"BLK 419, 420 AND 420A CLEMENTI AVE 1",1.31039274,103.7690923,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,NO,0,0,N,0.6,0.6
C30,BLK 507-509 WEST COAST DRIVE,1.311458097,103.7614211,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,0.6,0.6
C31,BLK 510/511 WEST COAST ROAD,1.310563194,103.7605991,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N,0.6,0.6
C32,BLK 514-519 WEST COAST ROAD,1.308625559,103.7590812,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,0.6,0.6
C33,BLK 601-613 CLEMENTI WEST STREET 1,1.304559438,103.7668576,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,0.6,0.6
C34,BLK 702/703 WEST COAST ROAD,1.307010315,103.7609363,SURFACE CAR PARK,ELECTRONIC PARKING,NO,SUN & PH FR 7AM-10.30PM,NO,0,4.5,N,0.6,0.6
C35,BLK 704-714 CLEMENTI WEST STREET 2,1.305612302,103.7614392,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N,0.6,0.6
C36,BLK 728/729 CLEMENTI WEST STREET 2,1.305309675,103.7635574,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,4.5,N,0.6,0.6
C37,"BLK 720-727,730-731 CLEMENTI WEST STREET 2",1.303538317,103.7639717,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,2.15,N,0.6,0.6
C38,BLK 715-717 CLEMENTI WEST STREET 2,1.302806668,103.7625268,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,0,N,0.6,0.6
C39,CLEMENTI SPORTS COMPLEX,1.310291208,103.7622399,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N,0.6,0.6
C4M,BLK 413A COMMONWEALTH AVENUE WEST,1.311480109,103.7705025,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,9,2,N,0.6,0.6
C41,CLEMENTI WOODS,1.300010919,103.7686033,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N,0.6,0.6
C5,"BLK 358-360,362-363,366-367 CLEMENTI AVE 2",1.313102659,103.7695739,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N,0.6,0.6
C6,BLK 328-334 CLEMENTI AVE 2,1.314488114,103.7676912,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,0.6,0.6
C7,BLK 349-355 CLEMENTI AVE 2,1.314883872,103.770755,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,0.6,0.6
C8,BLK 335/338 CLEMENTI AVE 2,1.316674657,103.7686311,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,0.6,0.6
C9,BLK 340/342/343/346-348 CLEMENTI AVE 5,1.317649249,103.7703123,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,5.4,N,0.6,0.6
DRM1,BLK 104C DEPOT ROAD,1.280513156,103.8115435,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,14,2.15,N,0.6,0.6
DRM2,BLK 112C DEPOT ROAD,1.281299376,103.8078531,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,14,2.15,N,0.6,0.6
DRM3,108A DEPOT ROAD,1.280838377,103.8098679,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,11,2.15,N,0.6,0.6
DRM4,BLK 105 DEPOT ROAD,1.280870652,103.8123659,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,3,2.15,N,0.6,0.6
DRM5,BLOCK 110 DEPOT ROAD,1.281331883,103.8094774,BASEMENT CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,1,2.15,Y,0.6,0.6
DRS,BLK 102A/102B DEPOT ROAD,1.280469756,103.8129928,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,2.15,N,0.6,0.6
DUXM,BLK 1 CANTONMENT ROAD,1.276977381,103.8410541,BASEMENT CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,3,2.1,Y,1.2,0.6
DWSP,BLK 95A DAWSON ROAD,1.296073217,103.8119342,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,13,2.15,N,0.6,0.6
DWST,BLK 89A DAWSON ROAD,1.295186745,103.8119897,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,4,2.15,N,0.6,0.6
DWSV,BLK 85 DAWSON ROAD,1.295306795,103.8096169,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,13,2.15,N,0.6,0.6
DWVT,BLK 78A DAWSON ROAD,1.294225428,103.8101445,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,13,2.15,N,0.6,0.6
ECM,BLK 31A EUNOS CRESCENT,1.320029988,103.9016271,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2.15,N,0.6,0.6
EC2,BLK 12-25 EUNOS CRESCENT,1.322615728,103.9044421,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,5.4,N,0.6,0.6
EC3,BLK 5-8/11/4A EUNOS CRESCENT,1.321156734,103.9044758,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,0,N,0.6,0.6
EC4,BLK 1-3/1A EUNOS CRESCENT,1.320516456,103.9026924,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,0,N,0.6,0.6
EC5,BLK 9-10 EUNOS CRESCENT,1.322033489,103.9026652,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,NO,NO,0,0,N,0.6,0.6
EC7,BLK 842-848 SIMS AVENUE,1.317783703,103.9016257,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,0,4.5,N,0.6,0.6
EC7T,BLK 842 TO 848 SIM AVENUE,1.318519674,103.9018341,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,NO,NO,0,0,N,0.6,0.6
